uri,constituency > label,election > label,electorate,majority,result of election,turnout
http://data.parliament.uk/resources/1223105,"Birmingham, Ladywood",2019 General Election,74912,28582,Lab Hold,42118
http://data.parliament.uk/resources/1223106,"Birmingham, Northfield",2019 General Election,73694,1640,Con Gain,43098
http://data.parliament.uk/resources/1223107,"Birmingham, Perry Barr",2019 General Election,72006,15317,Lab Hold,42147
http://data.parliament.uk/resources/1223108,"Birmingham, Selly Oak",2019 General Election,82665,12414,Lab Hold,49467
http://data.parliament.uk/resources/1223109,"Birmingham, Yardley",2019 General Election,74704,10659,Lab Hold,42678
http://data.parliament.uk/resources/1223110,Bishop Auckland,2019 General Election,68170,7962,Con Gain,44805
http://data.parliament.uk/resources/1223111,Blackburn,2019 General Election,71234,18304,Lab Hold,44736
http://data.parliament.uk/resources/1223112,Blackley and Broughton,2019 General Election,73372,14402,Lab Hold,38618
http://data.parliament.uk/resources/1223113,Blackpool North and Cleveleys,2019 General Election,63692,8596,Con Hold,38804
http://data.parliament.uk/resources/1223114,Blackpool South,2019 General Election,57690,3690,Con Gain,32752
http://data.parliament.uk/resources/1223115,Blaenau Gwent,2019 General Election,50739,8647,Lab Hold,30219
http://data.parliament.uk/resources/1223116,Blaydon,2019 General Election,67853,5531,Lab Hold,45681
http://data.parliament.uk/resources/1223117,Blyth Valley,2019 General Election,64429,712,Con Gain,40859
http://data.parliament.uk/resources/1223118,Bognor Regis and Littlehampton,2019 General Election,77446,22503,Con Hold,51223
http://data.parliament.uk/resources/1223119,Bolsover,2019 General Election,75161,5299,Con Gain,45938
http://data.parliament.uk/resources/1223120,Bolton North East,2019 General Election,67564,378,Con Gain,43556
http://data.parliament.uk/resources/1223121,Bolton South East,2019 General Election,69163,7598,Lab Hold,40604
http://data.parliament.uk/resources/1223122,Bolton West,2019 General Election,73191,8855,Con Hold,49298
http://data.parliament.uk/resources/1223123,Bootle,2019 General Election,74832,34556,Lab Hold,49174
http://data.parliament.uk/resources/1223124,Boston and Skegness,2019 General Election,69381,25621,Con Hold,41696
http://data.parliament.uk/resources/1223125,Bosworth,2019 General Election,81542,26278,Con Hold,56432
http://data.parliament.uk/resources/1223126,Bournemouth East,2019 General Election,74125,8806,Con Hold,49274
http://data.parliament.uk/resources/1223127,Bournemouth West,2019 General Election,74205,10150,Con Hold,45977
http://data.parliament.uk/resources/1223128,Bracknell,2019 General Election,78978,19829,Con Hold,54350
http://data.parliament.uk/resources/1223129,Bradford East,2019 General Election,73206,18144,Lab Hold,44184
http://data.parliament.uk/resources/1223130,Bradford South,2019 General Election,69046,2346,Lab Hold,39741
http://data.parliament.uk/resources/1223131,Bradford West,2019 General Election,70694,27019,Lab Hold,44261
http://data.parliament.uk/resources/1223132,Braintree,2019 General Election,75208,24673,Con Hold,50499
http://data.parliament.uk/resources/1223133,Brecon and Radnorshire,2019 General Election,55490,7131,Con Hold,41319
http://data.parliament.uk/resources/1223134,Brent Central,2019 General Election,84032,20870,Lab Hold,49132
http://data.parliament.uk/resources/1223135,Brent North,2019 General Election,83788,8079,Lab Hold,51879
http://data.parliament.uk/resources/1223136,Brentford and Isleworth,2019 General Election,85775,10514,Lab Hold,58326
http://data.parliament.uk/resources/1223137,Brentwood and Ongar,2019 General Election,75255,29065,Con Hold,52949
http://data.parliament.uk/resources/1223138,Bridgend,2019 General Election,63303,1157,Con Gain,42236
http://data.parliament.uk/resources/1223139,Bridgwater and West Somerset,2019 General Election,85327,24439,Con Hold,57652
http://data.parliament.uk/resources/1223140,Brigg and Goole,2019 General Election,65939,21941,Con Hold,43402
http://data.parliament.uk/resources/1223141,"Brighton, Kemptown",2019 General Election,69833,8061,Lab Hold,48533
http://data.parliament.uk/resources/1223142,"Brighton, Pavilion",2019 General Election,79057,19940,Green Hold,57998
http://data.parliament.uk/resources/1223143,Bristol East,2019 General Election,73867,10794,Lab Hold,52154
http://data.parliament.uk/resources/1223144,Bristol North West,2019 General Election,76273,5692,Lab Hold,55885
http://data.parliament.uk/resources/1223145,Bristol South,2019 General Election,84079,9859,Lab Hold,55196
http://data.parliament.uk/resources/1223146,Bristol West,2019 General Election,99253,28219,Lab Hold,75528
http://data.parliament.uk/resources/1223147,Broadland,2019 General Election,78151,21861,Con Hold,56977
http://data.parliament.uk/resources/1223148,Bromley and Chislehurst,2019 General Election,66697,10891,Con Hold,45566
http://data.parliament.uk/resources/1223149,Bromsgrove,2019 General Election,75078,23106,Con Hold,54272
http://data.parliament.uk/resources/1223150,Broxbourne,2019 General Election,73182,19807,Con Hold,46706
http://data.parliament.uk/resources/1223151,Broxtowe,2019 General Election,73052,5331,Con Hold,55272
http://data.parliament.uk/resources/1223152,Buckingham,2019 General Election,83146,20411,Con Gain,63458
http://data.parliament.uk/resources/1223153,Burnley,2019 General Election,64345,1352,Con Gain,38984
http://data.parliament.uk/resources/1223154,Burton,2019 General Election,75036,14496,Con Hold,48738
http://data.parliament.uk/resources/1223155,Bury North,2019 General Election,68802,105,Con Gain,46841
http://data.parliament.uk/resources/1223156,Bury South,2019 General Election,75152,402,Con Gain,50274
http://data.parliament.uk/resources/1223157,Bury St Edmunds,2019 General Election,89644,24988,Con Hold,61957
http://data.parliament.uk/resources/1223158,Caerphilly,2019 General Election,63166,6833,Lab Hold,40117
http://data.parliament.uk/resources/1223159,Calder Valley,2019 General Election,79287,5774,Con Hold,57793
http://data.parliament.uk/resources/1223160,Camberwell and Peckham,2019 General Election,88971,33780,Lab Hold,56492
http://data.parliament.uk/resources/1223161,Camborne and Redruth,2019 General Election,70250,8700,Con Hold,50367
http://data.parliament.uk/resources/1223162,Cambridge,2019 General Election,79951,9639,Lab Hold,53729
http://data.parliament.uk/resources/1223163,Cannock Chase,2019 General Election,74813,19879,Con Hold,46313
http://data.parliament.uk/resources/1223164,Canterbury,2019 General Election,80203,1836,Lab Hold,60113
http://data.parliament.uk/resources/1223165,Cardiff Central,2019 General Election,64037,17179,Lab Hold,41822
http://data.parliament.uk/resources/1223166,Cardiff North,2019 General Election,68438,6982,Lab Hold,52666
http://data.parliament.uk/resources/1223167,Cardiff South and Penarth,2019 General Election,78837,12737,Lab Hold,50579
http://data.parliament.uk/resources/1223168,Cardiff West,2019 General Election,68508,10986,Lab Hold,46177
http://data.parliament.uk/resources/1223169,Carlisle,2019 General Election,65105,8319,Con Hold,42873
http://data.parliament.uk/resources/1223170,Carmarthen East and Dinefwr,2019 General Election,57419,1809,PC Hold,41002
http://data.parliament.uk/resources/1223171,Carmarthen West and South Pembrokeshire,2019 General Election,59158,7745,Con Hold,42114
http://data.parliament.uk/resources/1223172,Carshalton and Wallington,2019 General Election,72941,629,Con Gain,49098
http://data.parliament.uk/resources/1223173,Castle Point,2019 General Election,69608,26634,Con Hold,44277
http://data.parliament.uk/resources/1223174,Central Devon,2019 General Election,74926,17721,Con Hold,58072
http://data.parliament.uk/resources/1223175,Central Suffolk and North Ipswich,2019 General Election,80037,23391,Con Hold,56250
http://data.parliament.uk/resources/1223176,Ceredigion,2019 General Election,56250,6329,PC Hold,40105
http://data.parliament.uk/resources/1223177,Charnwood,2019 General Election,79534,22397,Con Hold,55365
http://data.parliament.uk/resources/1223178,Chatham and Aylesford,2019 General Election,71642,18540,Con Hold,43340
http://data.parliament.uk/resources/1223179,Cheadle,2019 General Election,74577,2336,Con Hold,55903
http://data.parliament.uk/resources/1223180,Chelmsford,2019 General Election,80394,17621,Con Hold,57122
http://data.parliament.uk/resources/1223181,Chelsea and Fulham,2019 General Election,67110,11241,Con Hold,46821
http://data.parliament.uk/resources/1223182,Cheltenham,2019 General Election,81044,981,Con Hold,59357
http://data.parliament.uk/resources/1223183,Chesham and Amersham,2019 General Election,72542,16223,Con Hold,55685
http://data.parliament.uk/resources/1223184,Chesterfield,2019 General Election,71034,1451,Lab Hold,45186
http://data.parliament.uk/resources/1223185,Chichester,2019 General Election,85499,21490,Con Hold,61243
http://data.parliament.uk/resources/1223186,Chingford and Woodford Green,2019 General Election,65393,1262,Con Hold,48444
http://data.parliament.uk/resources/1223187,Chippenham,2019 General Election,77221,11288,Con Hold,57099
http://data.parliament.uk/resources/1223188,Chipping Barnet,2019 General Election,79960,1212,Con Hold,57569
